Title,Author,Rating,Days,Genre,Pages
A Place Called Home,David Ambroz,5,2,Memoir,384
The Secret Life of Bees,Sue Monk Kidd,4,27,Fiction,302
The Great Believers,Rebecca Makkai,4,51,Historical Fiction,421
Homegoing,Yaa Gyasi,4,2,Historical Fiction,305
Half of a Yellow Sun,Chimamanda Ngozi Adichie,4,29,Historical Fiction,433
True Biz,Sara Novic,4,7,Fiction,386
The Cape Doctor,E.J. Levy,3,15,Historical Fiction,352
Blood Sugar,Sascha Rothchild,5,17,Mystery,336
Lessons in Chemistry,Bonnie Garmus,3,17,Historical Fiction,400
Where the Forest Meets the Stars,Glendy Vanderah,3,4,Fiction,332
The Christie Affair,Nina de Gramont,3,8,Historical Fiction,320
Shuggie Bain,Douglas Stuart,4,15,Memoir,430
On Earth We're Briefly Gorgeous,Ocean Vuong,3,16,Memoir,246
The Poisonwood Bible,Barbara Kingsolver,2,19,Historical Fiction,546
11/22/1963,Stephen King,5,45,Thriller,849
State of Wonder,Ann Patchett,4,4,Adventure,353
Crossroads,Jonathan Franzen,5,30,Fiction,592
Pachinko,Min Jin Lee,5,8,Historical Fiction,496
The Midnight Library,Matt Haig,3,5,Fantasy,304
Crying in H Mart,Michelle Zauner,5,8,Memoir,242
Cloud Cuckoo Land,Anthony Doerr,5,20,Science Fiction,626
Verity,Colleen Hoover,3,5,Mystery,336
Life After Life,Kate Atkinson,4,10,Historical Fiction,527
